国,ポジション,選手名,所属チーム名,チームランキング,チームパワー,エリア,小さい
韓国,DF,キム・ミンジェ,バイエルン・ミュンヘン,2,100,ヨーロッパ,ドイツ
アルジェリア,DF,ラヤン・アイト＝ヌーリ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
イングランド,GK,ジェームズ・トラッフォード,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
イングランド,DF,ジョン・ストーンズ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
イングランド,DF,ニコ・オライリー,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
イングランド,DF,マーク・グエイ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
ウズベキスタン,DF,アブドゥコディル・フサノフ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
エジプト,FW,オマル・マルムシュ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
オランダ,MF,タイアニ・ラインデルス,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
オランダ,DF,ナタン・アケ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
ガーナ,FW,アントワーヌ・セメンヨ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
クロアチア,MF,マテオ・コヴァチッチ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
クロアチア,DF,ヨシュコ・グヴァルディオル,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
スペイン,MF,ロドリ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
ノルウェー,FW,アーリング・ハーランド,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
フランス,FW,ラヤン・シェルキ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
ベルギー,FW,ジェレミー・ドク,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
ポルトガル,MF,ベルナルド・シウバ,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
ポルトガル,DF,マテウス・ヌネス,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
日本,DF,伊藤洋輝,マンチェスター・シティ,3,98.3,ヨーロッパ,イングランド
エクアドル,DF,ウィリアン・パチョ,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
スペイン,MF,ファビアン・ルイス,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
セネガル,FW,イブラヒム・エンバイェ,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
チュニジア,FW,ハリル・アヤリ,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
ブラジル,DF,マルキーニョス,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
フランス,MF,ウォーレン・ザイール＝エメリ,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
フランス,FW,ウスマン・デンベレ,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
フランス,FW,デジレ・ドゥエ,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
フランス,FW,ブラッドリー・バルコラ,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
フランス,DF,リュカ・エルナンデス,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
ポルトガル,DF,ルベン・ディアス,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
ポルトガル,MF,ヴィティーニャ,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
ポルトガル,FW,ゴンサロ・ラモス,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
ポルトガル,MF,ジョアン・ネヴェス,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
ポルトガル,DF,ヌーノ・メンデス,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
モロッコ,DF,アクラフ・ハキミ,パリ・サンジェルマン,4,97.6,ヨーロッパ,フランス
イングランド,FW,マーカス・ラッシュフォード,バルセロナ,5,96.4,ヨーロッパ,スペイン
イングランド,FW,アンソニー・ゴードン,バルセロナ,5,96.4,ヨーロッパ,スペイン
ウルグアイ,DF,ロナルド・アラウホ,バルセロナ,5,96.4,ヨーロッパ,スペイン
エジプト,FW,ハムザ・アブデルカリム,バルセロナ,5,96.4,ヨーロッパ,スペイン
オランダ,MF,フレンキー・デ・ヨング,バルセロナ,5,96.4,ヨーロッパ,スペイン
スペイン,DF,エリック・ガルシア,バルセロナ,5,96.4,ヨーロッパ,スペイン
スペイン,MF,ガビ,バルセロナ,5,96.4,ヨーロッパ,スペイン
スペイン,GK,ジョアン・ガルシア,バルセロナ,5,96.4,ヨーロッパ,スペイン
スペイン,MF,ダニ・オルモ,バルセロナ,5,96.4,ヨーロッパ,スペイン
スペイン,DF,パウ・クバルシ,バルセロナ,5,96.4,ヨーロッパ,スペイン
スペイン,FW,フェラン・トーレス,バルセロナ,5,96.4,ヨーロッパ,スペイン
スペイン,MF,ペドリ,バルセロナ,5,96.4,ヨーロッパ,スペイン
スペイン,FW,ラミン・ヤマル,バルセロナ,5,96.4,ヨーロッパ,スペイン
ブラジル,FW,ハフィーニャ,バルセロナ,5,96.4,ヨーロッパ,スペイン
フランス,DF,ジュール・クンデ,バルセロナ,5,96.4,ヨーロッパ,スペイン
韓国,MF,イ・ガンイン,パリ・サンジェルマン,5,96.4,ヨーロッパ,フランス
アルゼンチン,DF,リサンドロ・マルティネス,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
イングランド,MF,コビー・メイヌー,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
ウルグアイ,MF,マヌエル・ウガルテ,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
コートジボワール,FW,アマド・ディアロ,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
スコットランド,MF,タイラー・フレッチャー,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
トルコ,GK,アルタイ・バユンドゥル,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
ブラジル,MF,カゼミーロ,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
ブラジル,FW,マテウス・クーニャ,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
ベルギー,GK,センネ・ラメンス,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
ポルトガル,DF,ジョアン・カンセロ,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
ポルトガル,DF,ディオゴ・ダロト,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
ポルトガル,MF,ブルーノ・フェルナンデス,マンチェスター・ユナイテッド,6,96.2,ヨーロッパ,イングランド
アルゼンチン,GK,エミリアーノ・マルティネス,アストン・ヴィラ,7,95.3,ヨーロッパ,イングランド
イングランド,DF,エズリ・コンサ,アストン・ヴィラ,7,95.3,ヨーロッパ,イングランド
イングランド,FW,オリー・ワトキンス,アストン・ヴィラ,7,95.3,ヨーロッパ,イングランド
イングランド,MF,モーガン・ロジャーズ,アストン・ヴィラ,7,95.3,ヨーロッパ,イングランド
スウェーデン,DF,ヴィクトル・リンデレフ,アストン・ヴィラ,7,95.3,ヨーロッパ,イングランド
スコットランド,MF,ジョン・マッギン,アストン・ヴィラ,7,95.3,ヨーロッパ,イングランド
フランス,DF,リュカ・ディーニュ,アストン・ヴィラ,7,95.3,ヨーロッパ,イングランド
ベルギー,MF,アマドゥ・オナナ,アストン・ヴィラ,7,95.3,ヨーロッパ,イングランド
モロッコ,DF,ヌサイル・マズラウィ,アストン・ヴィラ,7,95.3,ヨーロッパ,イングランド
イングランド,MF,ジュード・ベリンガム,レアル・マドリード,8,95.3,ヨーロッパ,スペイン
ウルグアイ,MF,フェデリコ・バルベルデ,レアル・マドリード,8,95.3,ヨーロッパ,スペイン
オーストリア,DF,ダヴィド・アラバ,レアル・マドリード,8,95.3,ヨーロッパ,スペイン
ドイツ,DF,アントニオ・リュディガー,レアル・マドリード,8,95.3,ヨーロッパ,スペイン
トルコ,FW,アルダ・ギュレル,レアル・マドリード,8,95.3,ヨーロッパ,スペイン
ブラジル,FW,ヴィニシウス・ジュニオール,レアル・マドリード,8,95.3,ヨーロッパ,スペイン
フランス,MF,オーレリアン・チュアメニ,レアル・マドリード,8,95.3,ヨーロッパ,スペイン
フランス,FW,キリアン・エンバペ,レアル・マドリード,8,95.3,ヨーロッパ,スペイン
ベルギー,MF,ユーリ・ティーレマンス,レアル・マドリード,8,95.3,ヨーロッパ,スペイン
ベルギー,GK,ティボー・クルトワ,レアル・マドリード,8,95.3,ヨーロッパ,スペイン
アルゼンチン,FW,ラウタロ・マルティネス,インテル,9,94.9,ヨーロッパ,イタリア
オランダ,DF,デンゼル・ダンフリース,インテル,9,94.9,ヨーロッパ,イタリア
クロアチア,MF,ペタル・スチッチ,インテル,9,94.9,ヨーロッパ,イタリア
コートジボワール,FW,アンジュ＝ヨアン・ボニー,インテル,9,94.9,ヨーロッパ,イタリア
スイス,DF,マヌエル・アカンジ,インテル,9,94.9,ヨーロッパ,イタリア
トルコ,MF,ハカン・チャルハノール,インテル,9,94.9,ヨーロッパ,イタリア
モロッコ,FW,ブラヒム・ディアス,インテル,9,94.9,ヨーロッパ,イタリア
アルゼンチン,MF,アレクシス・マック・アリスター,リヴァプール,10,94.8,ヨーロッパ,イングランド
エジプト,FW,モハメド・サラー,リヴァプール,10,94.8,ヨーロッパ,イングランド
オランダ,FW,コーディ・ガクポ,リヴァプール,10,94.8,ヨーロッパ,イングランド
オランダ,DF,フィルジル・ファン・ダイク,リヴァプール,10,94.8,ヨーロッパ,イングランド
オランダ,MF,ライアン・フラーフェンベルフ,リヴァプール,10,94.8,ヨーロッパ,イングランド
スウェーデン,FW,アレクサンデル・イサク,リヴァプール,10,94.8,ヨーロッパ,イングランド
スコットランド,DF,アンドリュー・ロバートソン,リヴァプール,10,94.8,ヨーロッパ,イングランド
ドイツ,FW,フロリアン・ヴィルツ,リヴァプール,10,94.8,ヨーロッパ,イングランド
ブラジル,GK,アリソン,リヴァプール,10,94.8,ヨーロッパ,イングランド
フランス,FW,マルクス・テュラム,リヴァプール,10,94.8,ヨーロッパ,イングランド
アルジェリア,DF,ラミ・ベンセバイニ,ボーンマス,11,94.8,ヨーロッパ,イングランド
オーストリア,MF,カーニー・チュクエメカ,ボーンマス,11,94.8,ヨーロッパ,イングランド
オーストリア,MF,マルセル・ザビッツァードルトムント,ボーンマス,11,94.8,ヨーロッパ,イングランド
スイス,GK,グレゴール・コーベル,ボーンマス,11,94.8,ヨーロッパ,イングランド
スウェーデン,DF,ダニエル・スヴェンソン,ボーンマス,11,94.8,ヨーロッパ,イングランド
フランス,DF,イブラヒマ・コナテ,ボーンマス,11,94.8,ヨーロッパ,イングランド
アメリカ,MF,タイラー・アダムス,ブライトン,12,93.8,ヨーロッパ,イングランド
アルゼンチン,DF,マルコス・セネシ,ブライトン,12,93.8,ヨーロッパ,イングランド
ドイツ,DF,ヴァルデマル・アントン,ブライトン,12,93.8,ヨーロッパ,イングランド
ドイツ,DF,ニコ・シュロッターベック,ブライトン,12,93.8,ヨーロッパ,イングランド
ドイツ,MF,フェリックス・ンメチャ,ブライトン,12,93.8,ヨーロッパ,イングランド
ドイツ,FW,マクシミリアン・バイアー,ブライトン,12,93.8,ヨーロッパ,イングランド
トルコ,MF,サリフ・エズジャン,ブライトン,12,93.8,ヨーロッパ,イングランド
ノルウェー,DF,ユリアン・リエルソン,ブライトン,12,93.8,ヨーロッパ,イングランド
オランダ,MF,ジャスティン・クライファート,ニューカッスル・ユナイテッド,13,93.3,ヨーロッパ,イングランド
オランダ,GK,バルト・フェルブルッヘン,ニューカッスル・ユナイテッド,13,93.3,ヨーロッパ,イングランド
オランダ,MF,マッツ・ウィーファー,ニューカッスル・ユナイテッド,13,93.3,ヨーロッパ,イングランド
スコットランド,MF,ベン・ギャノン＝ドーク,ニューカッスル・ユナイテッド,13,93.3,ヨーロッパ,イングランド
スコットランド,MF,ライアン・クリスティー,ニューカッスル・ユナイテッド,13,93.3,ヨーロッパ,イングランド
ブラジル,FW,ハイアン,ニューカッスル・ユナイテッド,13,93.3,ヨーロッパ,イングランド
オランダ,DF,ヤン・ポール・ファン・ヘッケ,ブレントフォード,14,93.2,ヨーロッパ,イングランド
スウェーデン,MF,ヤシン・アヤリ,ブレントフォード,14,93.2,ヨーロッパ,イングランド
ドイツ,MF,パスカル・グロス,ブレントフォード,14,93.2,ヨーロッパ,イングランド
トルコ,DF,フェルディ・カディオグル,ブレントフォード,14,93.2,ヨーロッパ,イングランド
イングランド,DF,ダン・バーン,ドルトムント,15,93,ヨーロッパ,ドイツ
ウルグアイ,MF,マクシミリアーノ・アラウホ,ドルトムント,15,93,ヨーロッパ,ドイツ
コートジボワール,DF,ウスマン・ディオマンデ,ドルトムント,15,93,ヨーロッパ,ドイツ
コロンビア,FW,ルイス・スアレス,ドルトムント,15,93,ヨーロッパ,ドイツ
コンゴ民主共和国,FW,ヨアン・ウィサ,ドルトムント,15,93,ヨーロッパ,ドイツ
スウェーデン,FW,アントニー・エランガ,ドルトムント,15,93,ヨーロッパ,ドイツ
ドイツ,FW,ニック・ヴォルテマデ,ドルトムント,15,93,ヨーロッパ,ドイツ
ドイツ,DF,マリック・ティアウ,ドルトムント,15,93,ヨーロッパ,ドイツ
パラグアイ,MF,ディエゴ・ゴメス,ドルトムント,15,93,ヨーロッパ,ドイツ
ブラジル,MF,ブルーノ・ギマランイス,ドルトムント,15,93,ヨーロッパ,ドイツ
ベルギー,DF,マキシム・デ・カイペル,ドルトムント,15,93,ヨーロッパ,ドイツ
イングランド,MF,ジョーダン・ヘンダーソン,ベンフィカ,16,93,ヨーロッパ,ポルトガル
スコットランド,DF,アーロン・ヒッキー,ベンフィカ,16,93,ヨーロッパ,ポルトガル
ノルウェー,DF,クリストフェル_アイエル,ベンフィカ,16,93,ヨーロッパ,ポルトガル
ブラジル,FW,イゴール・チアゴ,ベンフィカ,16,93,ヨーロッパ,ポルトガル
ベルギー,DF,ゼノ・デバスト,ベンフィカ,16,93,ヨーロッパ,ポルトガル
ポルトガル,DF,ゴンサロ・イナシオ,ベンフィカ,16,93,ヨーロッパ,ポルトガル
ポルトガル,FW,フランシスコ・トリンコン,ベンフィカ,16,93,ヨーロッパ,ポルトガル
ポルトガル,GK,ルイ・シルヴァ,ベンフィカ,16,93,ヨーロッパ,ポルトガル
アルゼンチン,DF,ニコラス・オタメンディ,スポルティングCP,17,92.9,ヨーロッパ,ポルトガル
カーボベルデ,DF,シドニー・ロペス・カブラル,スポルティングCP,17,92.9,ヨーロッパ,ポルトガル
コロンビア,MF,リチャルド・リオス,スポルティングCP,17,92.9,ヨーロッパ,ポルトガル
ノルウェー,MF,アンドレアス・シェルデルップ,スポルティングCP,17,92.9,ヨーロッパ,ポルトガル
ノルウェー,MF,フレドリク・アウルスネス,スポルティングCP,17,92.9,ヨーロッパ,ポルトガル
ベルギー,FW,ドディ・ルケバキオ,スポルティングCP,17,92.9,ヨーロッパ,ポルトガル
ボスニア・ヘルツェゴビナ,DF,アマル・デディッチ,スポルティングCP,17,92.9,ヨーロッパ,ポルトガル
アルゼンチン,MF,エンソ・フェルナンデス,チェルシー,18,92.8,ヨーロッパ,イングランド
イングランド,MF,エリオット・アンダーソン,チェルシー,18,92.8,ヨーロッパ,イングランド
イングランド,DF,トレヴォ・チャロバー,チェルシー,18,92.8,ヨーロッパ,イングランド
イングランド,DF,リース・ジェームズ,チェルシー,18,92.8,ヨーロッパ,イングランド
エクアドル,MF,モイセス・カイセド,チェルシー,18,92.8,ヨーロッパ,イングランド
コートジボワール,MF,イブラヒム・サンガレ,チェルシー,18,92.8,ヨーロッパ,イングランド
スイス,FW,ダン・エンドイェ,チェルシー,18,92.8,ヨーロッパ,イングランド
スコットランド,GK,アンガス・ガン,チェルシー,18,92.8,ヨーロッパ,イングランド
ニュージーランド,FW,クリス・ウッド,チェルシー,18,92.8,ヨーロッパ,イングランド
ポルトガル,DF,トマス・アラウージョ,チェルシー,18,92.8,ヨーロッパ,イングランド
オランダ,DF,ヨレル・ハト,ノッティンガム・フォレスト,19,92.6,ヨーロッパ,イングランド
スペイン,DF,マルク・ククレジャ,ノッティンガム・フォレスト,19,92.6,ヨーロッパ,イングランド
セネガル,DF,ママドゥ・サール,ノッティンガム・フォレスト,19,92.6,ヨーロッパ,イングランド
フランス,DF,マロ・ギュスト,ノッティンガム・フォレスト,19,92.6,ヨーロッパ,イングランド
ポルトガル,FW,ペドロ・ネト,ノッティンガム・フォレスト,19,92.6,ヨーロッパ,イングランド
アルゼンチン,FW,ジュリアーノ・シメオネ,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
アルゼンチン,FW,ティアゴ・アルマダ,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
アルゼンチン,DF,ナウエル・モリーナ,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
アルゼンチン,FW,ニコラス・ゴンサレス,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
アルゼンチン,GK,ファン・ムッソ,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
アルゼンチン,FW,フリアン・アルバレス,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
ウルグアイ,DF,ホセ・マリア・ヒメネス,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
スペイン,MF,アレックス・バエナ,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
スペイン,DF,マルク・プビル,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
スペイン,DF,マルコス・ジョレンテ,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
ノルウェー,FW,アレクサンデル・セルロート,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
メキシコ,MF,オベド・バルガス,クリスタル・パレス,20,92.1,ヨーロッパ,イングランド
スウェーデン,FW,グスタフ・ニルソン,ローマ,21,92.1,ヨーロッパ,イタリア
トルコ,DF,ゼキ・チェリク,ローマ,21,92.1,ヨーロッパ,イタリア
ベルギー,MF,ハンス・ヴァナケン,ローマ,21,92.1,ヨーロッパ,イタリア
ベルギー,DF,ブランドン・メシェレ,ローマ,21,92.1,ヨーロッパ,イタリア
ベルギー,DF,ホアキン・セイス,ローマ,21,92.1,ヨーロッパ,イタリア
エクアドル,DF,ホエル・オルドニェス,クラブ・ブルージュ,22,92,ヨーロッパ,ベルギー
オランダ,FW,ドニエル・マレン,コモ,22,92,ヨーロッパ,イタリア
コートジボワール,DF,エヴァン・エンディカ,コモ,22,92,ヨーロッパ,イタリア
フランス,MF,マヌ・コネ,コモ,22,92,ヨーロッパ,イタリア
モロッコ,MF,ニール・エル・アイナウィ,コモ,22,92,ヨーロッパ,イタリア
アメリカ,DF,クリス・リチャーズ,クラブ・ブルージュ,23,92,ヨーロッパ,ベルギー
イングランド,GK,ディーン・ヘンダーソン,クラブ・ブルージュ,23,92,ヨーロッパ,ベルギー
コートジボワール,FW,エヴァン・ゲサン,クラブ・ブルージュ,23,92,ヨーロッパ,ベルギー
コロンビア,MF,ジェフェルソン・レルマ,クラブ・ブルージュ,23,92,ヨーロッパ,ベルギー
アメリカ,DF,アントニー・ロビンソン,フラム,24,92,ヨーロッパ,イングランド
ノルウェー,MF,オスカー・ボブ,フラム,24,92,ヨーロッパ,イングランド
ノルウェー,MF,サンデル・ベルゲ,フラム,24,92,ヨーロッパ,イングランド
ベルギー,DF,ティモシー・カスターニュ,フラム,24,92,ヨーロッパ,イングランド
メキシコ,FW,ラウール・ヒメネス,フラム,24,92,ヨーロッパ,イングランド
モロッコ,DF,イッサ・ディオプ,フラム,24,92,ヨーロッパ,イングランド
コロンビア,DF,ダニエル・ムニョス,ユヴェントス,25,91.9,ヨーロッパ,イタリア
スペイン,FW,ジェレミ・ピノ,ユヴェントス,25,91.9,ヨーロッパ,イタリア
セネガル,FW,イスマイラ・サール,ユヴェントス,25,91.9,ヨーロッパ,イタリア
ノルウェー,FW,ヨルゲン・ストラン・ラーセン,ユヴェントス,25,91.9,ヨーロッパ,イタリア
フランス,FW,ジャン＝フィリップ・マテタ,ユヴェントス,25,91.9,ヨーロッパ,イタリア
フランス,DF,マクサンス・ラクロワ,ユヴェントス,25,91.9,ヨーロッパ,イタリア
アメリカ,MF,マリク・ティルマン,レヴァークーゼン,26,91.8,ヨーロッパ,ドイツ
アルジェリア,MF,イブラヒム・マザ,レヴァークーゼン,26,91.8,ヨーロッパ,ドイツ
アルゼンチン,MF,エセキエル・パラシオス,レヴァークーゼン,26,91.8,ヨーロッパ,ドイツ
イングランド,DF,ジャレル・クアンサー,レヴァークーゼン,26,91.8,ヨーロッパ,ドイツ
オランダ,GK,マルク・フレッケン,レヴァークーゼン,26,91.8,ヨーロッパ,ドイツ
スペイン,DF,アレックス・グリマルド,レヴァークーゼン,26,91.8,ヨーロッパ,ドイツ
チェコ,FW,パトリック・シック,レヴァークーゼン,26,91.8,ヨーロッパ,ドイツ
ウルグアイ,DF,マティアス・オリベラ,リーズ・ユナイテッド,27,91.7,ヨーロッパ,イングランド
スコットランド,MF,スコット・マクトミネイ,リーズ・ユナイテッド,27,91.7,ヨーロッパ,イングランド
モロッコ,DF,シャディ・リアド,リーズ・ユナイテッド,27,91.7,ヨーロッパ,イングランド
日本,MF/FW,鎌田大地,リーズ・ユナイテッド,27,91.7,ヨーロッパ,イングランド
アメリカ,MF,ウェストン・マッケニー,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
イングランド,GK,ジョーダン・ピックフォード,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
オランダ,MF,トゥーン・コープマイネルス,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
カナダ,MF,ステファン・エウスタキオ,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
コートジボワール,MF,セコ・フォファナ,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
スコットランド,DF,ネイサン・パターソン,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
セネガル,MF,イドゥリサ・ゲイエ,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
セネガル,FW,イリマン・エンディアイェ,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
トルコ,FW,デニズ・ギュル,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
ベルギー,MF,ケヴィン・デ・ブライネ,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
ベルギー,FW,ロメル・ルカク,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
ポルトガル,GK,ディオゴ・コスタ,アトレティコ・マドリード,28,91.6,ヨーロッパ,スペイン
カナダ,FW,ジョナサン・デイビッド,エヴァートン,29,91.4,ヨーロッパ,イングランド
トルコ,FW,ケナン・ユルディズ,エヴァートン,29,91.4,ヨーロッパ,イングランド
ブラジル,DF,ブレーメル,エヴァートン,29,91.4,ヨーロッパ,イングランド
ポルトガル,FW,フランシスコ・コンセイソン,エヴァートン,29,91.4,ヨーロッパ,イングランド
アルゼンチン,DF,クリスティアン・ロメロ,ポルト,30,91.2,ヨーロッパ,ポルトガル
イングランド,DF,ジェド・スペンス,ポルト,30,91.2,ヨーロッパ,ポルトガル
ウルグアイ,MF,ロドリゴ・ベンタンクール,ポルト,30,91.2,ヨーロッパ,ポルトガル
オーストリア,DF,ケヴィン・ダンソ,ポルト,30,91.2,ヨーロッパ,ポルトガル
アメリカ,MF,ブレンデン・アーロンソン,トッテナム・ホットスパー,31,91.2,ヨーロッパ,イングランド
オランダ,DF,ミッキー・ファン・デ・フェン,トッテナム・ホットスパー,31,91.2,ヨーロッパ,イングランド
スイス,FW,ノア・オカフォー,トッテナム・ホットスパー,31,91.2,ヨーロッパ,イングランド
スウェーデン,MF,ルーカス・ベリヴァル,トッテナム・ホットスパー,31,91.2,ヨーロッパ,イングランド
スウェーデン,DF,ガブリエル・グズムンドソン,トッテナム・ホットスパー,31,91.2,ヨーロッパ,イングランド
スペイン,DF,ペドロ・ポロ,トッテナム・ホットスパー,31,91.2,ヨーロッパ,イングランド
セネガル,MF,パプ・マタル・サール,トッテナム・ホットスパー,31,91.2,ヨーロッパ,イングランド
日本,MF/FW,田中碧,トッテナム・ホットスパー,31,91.2,ヨーロッパ,イングランド
アルゼンチン,FW,"ニコラス ""ニコ""・パス",RCランス,32,91.1,ヨーロッパ,フランス
クロアチア,MF,マルティン・バトゥリナ,RCランス,32,91.1,ヨーロッパ,フランス
セネガル,FW,アサン・ディアオ,RCランス,32,91.1,ヨーロッパ,フランス
イラク,MF,アリ・ジャースィム,ナポリ,33,91,ヨーロッパ,イタリア
コンゴ民主共和国,DF,アルトゥール・マスアク,ナポリ,33,91,ヨーロッパ,イタリア
サウジアラビア,DF,サウード・アブドゥルハミド,ナポリ,33,91,ヨーロッパ,イタリア
